Step,Average Fitness,Survival Time,Minerals,Gas,Depth,Size,Best Individual,Best Fitness
49,12155.25,176.25,3217.5,1501.5,10.84,105.36,Q(B(MMMaMa)EQ(Q(Q(StMaMSt)Q(Q(StEStE)EQ(MStEMa)E)Q(MaStMaQ(Q(StStStE)Q(Q(Q(Q(B(MaMaMaMa)B(MMaEE)MB(MaEME))Q(MaStMaE)Q(B(MaMME)MaStE)Q(EEStMa))MaMaQ(Q(Q(MEStMa)Q(MMStMa)Q(B(MaMMM)StStE)E)MaStSt))MMaB(EMMM))Q(MMMSt)Q(B(MaMEM)StME)))Q(StStStE))MaB(EMMMa)Q(Q(Q(StStEE)EQ(MMMSt)Q(B(MaMEM)StME))MaMaM))E),15625
50,11985.69629,168.2607117,2851,1326.25,10.74,104.74,Q(EMaQ(Q(EStEQ(EEStM))MMaQ(Q(StQ(Q(MMMM)StStMa)Q(B(MaMMM)StStE)Q(EMaEE))MStSt))E),15710.71387
51,12549.625,176.4250031,2995.5,1398.25,11.61,118.51,Q(B(MMaMaMa)EQ(Q(Q(StMaMSt)Q(Q(StEStE)EQ(MStEMa)E)Q(MaStMaQ(Q(StStStE)Q(Q(Q(EMaESt)MaMaQ(Q(Q(StEStMa)Q(MMStMa)Q(B(MaMMM)StStE)St)MaStSt))MMaB(EMMM))Q(MMMSt)Q(B(MaMEM)StStE)))Q(StMStE))MaB(EMMMa)Q(Q(Q(StStEE)EQ(MMMSt)Q(B(MaMEM)StME))MaMaM))E),15625
52,11321.46387,167.6821442,3194.5,1501.5,11.96,123.06,Q(B(MMMMa)EQ(Q(Q(StMaMSt)Q(Q(StEStE)EQ(MStEMa)E)Q(MaStMaQ(Q(StStStE)Q(Q(Q(EMaESt)MaMaQ(Q(Q(MEEMa)Q(StMStMa)Q(B(MaMMM)StStE)St)MaStSt))MB(MaMEM)B(MMMMa))Q(MMMMa)Q(B(MaMEM)StME)))Q(StStStE))MaB(EMMMa)Q(Q(Q(StStStE)EQ(MMMSt)Q(B(MaMEM)MME))MMaM))E),15662.5
53,12811.23242,179.2285767,2983.5,1418.75,11.74,119.45,Q(B(MMMMa)EQ(Q(Q(StMaMSt)Q(Q(StEStE)EQ(MStEMa)E)Q(MaStMaQ(Q(StStStE)Q(Q(Q(EMaESt)MaMaQ(Q(Q(MEEMa)Q(StMStMa)Q(B(MaMMM)StStE)St)MaStSt))MB(MaMEM)B(MMMMa))Q(MMMMa)Q(B(MaMEM)StME)))Q(StStStE))MaB(EMMMa)Q(Q(Q(StStStE)EQ(MMMSt)Q(B(MaMEM)MME))MMaM))E),15662.5
54,12736.14258,181.5714264,3150,1514,13.01,127.51,Q(B(MMMaMa)EQ(Q(Q(StMaMSt)Q(Q(StEStE)EESt)Q(MaMaMaQ(Q(StStStE)Q(Q(EMaMaQ(Q(Q(MEEMa)Q(StMStMa)Q(EStStE)St)MaStSt))MMaB(EMMMa))EQ(B(MaMEM)B(MMMaMa)ME)))Q(StStStE))EB(EMMMa)Q(Q(Q(StStStE)EQ(MMMSt)Q(B(MaMEM)StME))MaMaM))E),15675
55,12847.17871,181.3642883,3053.5,1490.5,13.3,133.17,Q(EMaQ(MMaMaQ(Q(Q(Q(Q(EEESt)MaMaQ(Q(MStQ(MaQ(EQ(EB(MMEMa)B(MaMEE)Ma)Q(EMMB(EEMaE))Q(StEB(EEEE)St))MaMa)Q(StMEE))EStB(MaMEM)))Q(Q(Q(B(MaMaEE)MMaM)Q(B(MaEEE)B(MMaEE)ME)Q(StEEE)Q(EEStB(MaMaMaMa)))MMaB(EMMMa))Q(StMStSt)Q(B(MaMEM)StME))Q(StStStMa)Q(MMStE)Q(StMaEMa))MaStSt))B(MaMMaM)),15700
56,12051.19629,174.0107117,3128,1481.25,12.32,128.39,Q(B(MMMaMa)EQ(Q(Q(StMaMSt)Q(Q(StEStE)EESt)Q(MaMaMaQ(Q(StStStE)Q(Q(EMaMaQ(Q(Q(MEEQ(Q(MStB(MaEEE)B(MaEMaM))Q(StStB(EEMaMa)E)Q(MStMM)Q(MStMB(MEEE))))Q(StMStMa)Q(MaStStE)St)MaStSt))MMaB(EMMMa))EQ(B(MaMEM)MaME)))Q(StStStE))EB(EMMMa)Q(Q(Q(StStStE)EQ(MMMSt)Q(B(MaMEM)StME))MaMaM))E),15625
57,13609.41113,185.4428558,2906.5,1352.25,12.04,125.54,Q(B(MMMaMa)EQ(Q(Q(EMaEB(EEMaE))Q(Q(StEStE)EQ(MStEMa)St)Q(StMaMQ(Q(StStStQ(Q(MEEMa)Q(StMStMa)Q(B(MaMMM)StStE)St))Q(Q(Q(EMaESt)MaMaQ(Q(Q(MEEMa)Q(StMMMa)Q(B(MaMMM)StStE)St)MaStSt))MMaB(EMMMa))EE))Q(StStStE))EB(EMEMa)Q(Q(Q(StStStE)EQ(MMMSt)Q(B(MaMEM)StME))MaMaM))E),15825
58,12878.83887,179.1321411,2947.5,1391.25,12.49,128.95,Q(B(MaMMMa)EQ(Q(Q(EMaMSt)Q(Q(StStEE)EQ(MStEMa)E)Q(MaStStQ(Q(StQ(MaMaMQ(B(MaMEE)Q(EMaMaE)Q(MaMStE)Q(MB(MMEE)ME)))StE)Q(MMMaB(EMMMa))Q(MMMB(MaMMaM))Q(B(MaMEM)StME)))Q(StStStE))MaB(EMMMa)Q(Q(Q(StStStE)EEQ(B(EMEM)StME))StMaM))E),15712.5
